title,date_of_posting,time_of_posting,time_in_IST,likes
"Sep 6, 2021",2021-09-06,12:58:31,17:28:31,281
"Jun 30, 2021",2021-06-30,14:11:25,18:41:25,124
"Jun 28, 2021",2021-06-28,14:48:33,19:18:33,168
"Jun 27, 2021",2021-06-27,14:33:54,19:03:54,165
"Jun 27, 2021",2021-06-27,10:21:33,14:51:33,138
"Jun 26, 2021",2021-06-26,10:43:13,15:13:13,212
"Jun 24, 2021",2021-06-24,14:48:29,19:18:29,105
"Jun 21, 2021",2021-06-21,15:29:48,19:59:48,137
"Jun 15, 2021",2021-06-15,14:47:36,19:17:36,131
"Jun 6, 2021",2021-06-06,13:24:17,17:54:17,126
"May 23, 2021",2021-05-23,06:55:48,11:25:48,203
"May 21, 2021",2021-05-21,10:35:06,15:05:06,202
"May 21, 2021",2021-05-21,16:30:14,21:00:14,150
"May 19, 2021",2021-05-19,16:30:18,21:00:18,219
"May 18, 2021",2021-05-18,15:42:15,20:12:15,271
"May 18, 2021",2021-05-18,05:31:03,10:01:03,195
"May 16, 2021",2021-05-16,10:01:32,14:31:32,156
"May 15, 2021",2021-05-15,15:29:47,19:59:47,125
"May 14, 2021",2021-05-14,07:21:30,11:51:30,183
"May 5, 2021",2021-05-05,14:00:48,18:30:48,264
"May 5, 2021",2021-05-05,13:59:19,18:29:19,114
"May 5, 2021",2021-05-05,14:02:11,18:32:11,133
"Apr 20, 2021",2021-04-20,12:38:50,17:08:50,265
"Apr 11, 2021",2021-04-11,15:26:11,19:56:11,189
"Apr 8, 2021",2021-04-08,12:01:27,16:31:27,332
"Feb 27, 2021",2021-02-27,15:08:11,19:38:11,132
"Feb 22, 2021",2021-02-22,11:03:39,15:33:39,127
"Jan 30, 2021",2021-01-30,13:33:19,18:03:19,104
"Jan 26, 2021",2021-01-26,14:16:47,18:46:47,203
"Jan 23, 2021",2021-01-23,12:35:51,17:05:51,132
"Jan 14, 2021",2021-01-14,05:37:38,10:07:38,206
"Dec 29, 2020",2020-12-29,12:30:02,17:00:02,96
"Dec 28, 2020",2020-12-28,14:45:41,19:15:41,122
"Dec 27, 2020",2020-12-27,13:39:50,18:09:50,95
"Dec 25, 2020",2020-12-25,16:29:58,20:59:58,98
"Dec 23, 2020",2020-12-23,10:59:20,15:29:20,133
"Dec 21, 2020",2020-12-21,14:16:59,18:46:59,125
"Dec 18, 2020",2020-12-18,12:35:34,17:05:34,149
"Dec 10, 2020",2020-12-10,14:28:24,18:58:24,144
"Dec 3, 2020",2020-12-03,13:13:12,17:43:12,111
"Nov 25, 2020",2020-11-25,15:33:17,20:03:17,164
"Nov 24, 2020",2020-11-24,12:34:35,17:04:35,149
"Nov 17, 2020",2020-11-17,13:33:10,18:03:10,174
"Nov 11, 2020",2020-11-11,15:57:16,20:27:16,150
"Nov 1, 2020",2020-11-01,14:57:40,19:27:40,124
"Oct 31, 2020",2020-10-31,13:18:48,17:48:48,135
"Oct 26, 2020",2020-10-26,13:45:32,18:15:32,136
"Oct 23, 2020",2020-10-23,12:22:57,16:52:57,184
"Oct 14, 2020",2020-10-14,15:07:26,19:37:26,153
"Oct 10, 2020",2020-10-10,15:55:39,20:25:39,146
"Oct 10, 2020",2020-10-10,06:40:51,11:10:51,752
"Oct 9, 2020",2020-10-09,05:57:22,10:27:22,157
"Oct 8, 2020",2020-10-08,15:44:42,20:14:42,180
"Oct 7, 2020",2020-10-07,14:09:47,18:39:47,195
"Oct 6, 2020",2020-10-06,14:05:07,18:35:07,132
"Oct 5, 2020",2020-10-05,14:26:04,18:56:04,215
"Oct 4, 2020",2020-10-04,13:19:41,17:49:41,495
"Oct 3, 2020",2020-10-03,13:09:48,17:39:48,197
"Sep 14, 2020",2020-09-14,13:59:43,18:29:43,154
"Sep 13, 2020",2020-09-13,15:31:17,20:01:17,396
"Sep 10, 2020",2020-09-10,16:30:15,21:00:15,221
"Sep 8, 2020",2020-09-08,15:58:42,20:28:42,176
"Aug 21, 2020",2020-08-21,15:32:49,20:02:49,256
"Jun 30, 2020",2020-06-30,15:20:16,19:50:16,107
"Jun 28, 2020",2020-06-28,15:53:44,20:23:44,131
"Jun 27, 2020",2020-06-27,16:04:20,20:34:20,87
"Jun 26, 2020",2020-06-26,15:54:03,20:24:03,128
"Jun 25, 2020",2020-06-25,02:30:02,07:00:02,145
"Jun 23, 2020",2020-06-23,15:33:11,20:03:11,105
"Jun 22, 2020",2020-06-22,15:41:40,20:11:40,211
